Heart_rate,Max_volume,Min_volume,Endsys_volume,Enddiast_volume,Max_preassure,Min_preassure,Endsys_preassure,Enddiast_preassure,Stroke_vol,Eject_F,Cardiac_output,Stroke_work,Art_elastance,dPdt_max,dPdt_min,dVdt_max,dVdt_min,PdVdt_max,PdPdt_max,VdPdt_max,VdPdt_min,Tau_w,Tau_g,Max_power,PAMP,Group
426,176.94,104.22,106.73,156.59,119.67,-0.61,104.66,-0.37,72.73,41.1,30947.08,6828,1.44,16302,-7596,5780,-8667,96.5,40.45,171.92,104.22,6.88,12.39,131.6,53.66,Control
426,174.62,102.08,102.58,151.63,115.23,-0.78,100.94,1.35,72.54,41.54,30867.24,6251,1.39,16662,-7518,7348,-9109,101.96,38.12,168.22,102.4,6.8,11.86,105.64,45.95,Control
429,174.43,99.26,100.77,165.07,115.98,1.35,100.82,3.27,75.17,43.09,32216.06,6413,1.34,17099,-7721,6845,-8921,98.33,45.61,167.83,99.76,7.42,10.89,112.81,41.4,Control
429,177.95,103.84,105.85,170.47,118.84,2.27,103.88,2.8,74.11,41.64,31759.54,6848,1.4,15239,-7799,4019,-9920,93.22,49.94,171.23,103.84,7.68,11.62,133.84,46.06,Control
429,182.34,104.53,114.96,165.7,122.2,1.69,114.87,1.91,77.81,42.67,33346.99,7337,1.48,15802,-8003,4206,-11118,102.32,47.38,176.19,104.53,7.53,11.87,157.09,57.21,Control
426,177.13,103.15,106.29,158.86,120.82,-0.29,105.9,-0.06,73.98,41.76,31480.21,6938,1.43,16318,-7768,5720,-8734,97.97,41.84,171.79,103.15,6.99,12.18,129.85,51.45,Control
426,174.56,101.83,102.4,150.5,116.35,-0.56,102.16,0.07,72.73,41.66,30947.08,6465,1.4,17052,-7784,5713,-8286,98.46,46.22,166.83,101.83,6.58,11.56,114.43,50.52,Control
429,173.36,99.45,101.27,164.57,114.24,0.07,100.8,3.58,73.91,42.63,31676.53,5943,1.36,16083,-7393,6966,-8976,99.93,49.88,163.82,101.83,7.69,11.7,106.64,39.37,Control
429,176.57,98.69,103.4,170.47,118.2,2.41,102.69,2.94,77.88,44.11,33375.53,6980,1.32,15411,-7784,5272,-10428,94.17,52.02,169.66,98.69,7.58,11.55,135.42,46.6,Control
429,183.22,104.09,114.52,166.77,121.96,2.14,114.51,2.63,79.13,43.19,33912.46,7390,1.45,15020,-7971,3704,-9545,94.74,50.07,175.56,104.59,7.67,11.94,147.19,52.92,Control
426,177.45,103.78,106.8,162.75,122.42,0.35,107.18,0.52,73.66,41.51,31346.28,7029,1.45,16286,-8049,6597,-11239,100.77,44.6,172.61,103.78,7.24,12.07,140.02,52.86,Control
429,176.63,102.65,105.03,153.02,119.46,-0.64,105.32,-0.4,73.98,41.88,31705.07,6885,1.42,16365,-8034,6470,-8734,101.14,47.74,169.66,102.65,6.6,11.76,122.55,52.34,Control
426,173.93,101.83,102.78,156.09,115.15,-0.42,101.29,3,72.1,41.45,30679.23,5856,1.4,15911,-7596,7729,-9732,100.33,49.66,164.13,104.97,6.9,12.01,110.83,45.49,Control
429,173.74,98.13,100.14,166.08,117.81,2.8,102.02,3.33,75.61,43.52,32405.41,6701,1.35,16943,-7956,8292,-9986,99.3,45.92,168.34,98.88,7.62,11.03,124.38,45.09,Control
429,178.45,102.9,105.79,169.15,120.6,2.28,105.08,2.89,75.55,42.34,32379.48,7003,1.39,14755,-7815,4206,-10362,94.75,51.05,171.35,102.9,7.69,11.71,144.93,50.65,Control
429,180.4,104.22,106.73,163.57,123.48,1.86,107.8,2.27,76.18,42.23,32649.24,7148,1.42,14739,-7971,6470,-10489,95.88,50.61,172.61,105.48,7.69,12.14,168.77,63.08,Control
429,174.75,102.52,106.8,157.47,121.32,-0.06,106.72,0.11,72.22,41.33,30952.84,6731,1.48,16177,-7956,6028,-11052,101.74,47.02,168.72,103.21,6.96,11.73,136.85,55.19,Control
426,173.49,101.64,102.96,149.19,116.88,-0.72,103.05,-0.09,71.84,41.41,30571.06,6341,1.43,16693,-7580,6658,-9169,103.33,39.61,167.08,102.27,6.77,12.18,114.01,51.22,Control
429,172.04,100.39,101.33,163.75,114.04,-0.09,100.33,3.43,71.65,41.65,30709.01,5674,1.4,17052,-7362,6718,-8225,102.71,40.89,167.21,103.78,7.61,11.4,122.08,45.53,Control
429,175.62,98.56,102.9,168.59,117.95,2.38,102.97,2.89,77.06,43.88,33025.35,6892,1.34,16443,-7971,5901,-10235,97.96,44.11,170.16,99.19,7.54,11.15,129.35,45.51,Control
426,182.15,104.03,105.91,167.59,121.53,2.08,105.41,2.44,78.12,42.89,33244.42,7215,1.35,16005,-7737,4648,-12559,99,43.13,176.76,104.03,7.83,12.41,159.75,56.88,Control
426,178.95,103.34,107.11,160.24,121.96,-0.29,107.44,-0.06,75.61,42.25,32175.59,7138,1.42,15833,-8112,5211,-11300,102.72,47.61,171.6,104.47,7.02,12.07,153.21,59.67,Control
426,177.19,101.33,103.02,150.63,118.32,-0.73,103.71,-0.09,75.86,42.81,32281.18,6842,1.37,17177,-7924,5901,-9357,99.07,45.22,168.91,101.33,6.56,12,124.34,54.8,Control
429,174.36,99.26,101.58,164.89,115.52,-0.09,102.29,3.55,75.1,43.07,32187.53,6046,1.36,16927,-7471,6464,-10362,100,48.97,166.21,102.4,7.72,11.86,120,44.14,Control
429,176.69,98.63,102.33,168.97,119.1,2.46,103.21,2.89,78.06,44.18,33453.34,7081,1.32,16662,-8003,5901,-10489,99.96,45.99,170.85,99.13,7.56,11.25,149.75,52.45,Control
426,182.41,104.16,106.11,166.71,122.43,2.16,106.65,2.88,78.25,42.9,33298.5,7322,1.36,15818,-7721,4642,-13376,114.59,42.38,177,104.85,7.89,12.62,167.94,60.43,Control
429,177.13,103.97,106.61,162.18,122.56,0.8,107.4,0.91,73.16,41.3,31354.89,6891,1.47,14411,-7987,4025,-10108,95.89,51.07,170.35,103.97,7.27,11.78,155.57,59.15,Control
423,175.25,103.65,104.91,153.64,119.57,-0.62,105.46,-0.26,71.59,40.85,30250.92,6654,1.47,16193,-7799,5151,-9103,95.83,39.17,170.1,103.97,6.73,11.76,123.54,52.33,Control
429,171.92,101.27,102.65,151.82,114.82,-0.26,101.29,2.97,70.65,41.09,30278.43,5825,1.43,17037,-7799,6906,-9042,98.49,46.81,164.76,104.47,7.01,11.98,112.46,48.79,Control
429,168.59,96.87,98.88,163.94,116.74,2.57,101.54,3.07,71.72,42.54,30737.55,6208,1.42,15739,-7706,6658,-10864,96.3,41.23,165.13,98.63,7.51,11.1,131.67,48.99,Control
429,176.88,103.47,105.29,168.78,118.79,2.27,103.82,2.75,73.41,41.5,31461.24,6701,1.41,15474,-7893,3831,-10301,92.47,49.13,170.73,103.47,7.72,11.68,140.07,49.17,Control
429,180.52,104.4,106.41,162.12,121.87,1.39,106.66,1.49,76.11,42.16,32620.71,7175,1.4,16240,-7768,5586,-12062,100.24,44.5,175.37,104.66,7.44,11.79,158.78,60.41,Control
426,174.93,103.28,105.16,154.71,119.92,-0.58,105.37,-0.39,71.65,40.96,30491.22,6684,1.47,16333,-7878,5780,-8104,96.72,40.8,169.97,103.28,6.89,12.19,124.31,51.94,Control
429,172.74,101.08,101.58,149.31,115.37,-0.73,100.91,0.89,71.66,41.49,30711.61,5996,1.41,17037,-7581,7033,-8540,103.43,41.31,166.21,104.03,6.83,12.28,115.18,51.67,Control
429,173.11,98.32,100.51,164.76,115.92,0.89,100.86,3.16,74.8,43.21,32055.24,6209,1.35,15317,-7674,8413,-7850,102.43,53.02,165.01,100.27,7.54,11.15,116.46,42.9,Control
429,178.76,103.28,105.16,168.84,118.67,2.28,103.66,2.91,75.49,42.23,32350.94,6805,1.37,16036,-7643,4019,-10991,97.99,43.67,172.55,103.28,7.65,11.45,145.56,51.06,Control
426,180.33,103.53,106.48,165.01,121.95,1.77,106.19,2.11,76.8,42.59,32682.96,7103,1.38,16177,-7862,4836,-11681,99.63,43.91,174.49,103.53,7.59,12.12,149.59,54.94,Control
429,174.93,102.02,106.17,155.28,120.53,-0.37,105.97,-0.12,72.91,41.68,31248.54,6742,1.45,14927,-8018,5278,-9859,103.61,50.39,167.59,102.02,6.91,11.75,128.49,53.29,Control
426,171.23,101.02,102.58,148.24,116.21,-0.83,101.88,-0.14,70.21,41.01,29878.25,6135,1.45,16537,-7549,6403,-9357,102.46,38.52,165.95,101.96,6.56,11.6,114.3,52.01,Control
426,173.61,99.07,100.83,164.44,113.95,-0.14,100.68,3.6,74.55,42.94,31722.3,6016,1.35,15818,-7346,8044,-8292,100.96,36.95,169.78,101.52,7.65,11.66,114.06,42.18,Control
429,175.75,99.19,103.4,170.16,117.9,2.38,102.5,2.86,76.56,43.56,32810.06,6836,1.34,15990,-7502,5023,-10797,92.75,49.99,169.22,100.39,7.54,11.18,140.19,48.42,Control
426,182.21,104.28,106.92,166.51,121.31,2.1,105.62,2.55,77.93,42.77,33162,7158,1.36,16005,-7690,4527,-11808,99.18,43.41,176.37,105.35,7.67,11.84,161.74,58.33,Control
429,176.82,103.78,106.29,161.37,120.82,0.3,105.58,0.47,73.03,41.31,31300.42,6803,1.45,15739,-8190,4963,-10362,102.55,48.35,169.6,104.22,7.09,11.63,146.92,56.42,Control
423,175.18,102.58,104.22,149.37,117.79,-0.78,103.07,-0.15,72.6,41.44,30675.44,6588,1.42,15599,-7846,5526,-10168,102.63,37,170.35,102.58,6.52,11.45,118.11,52.93,Control
429,172.04,101.02,101.52,157.79,113.66,-0.15,98.57,3.57,71.02,41.28,30439.25,5646,1.39,16630,-7612,7408,-10422,98.55,48.3,163.94,105.48,7.24,11.71,115.13,46.24,Control
429,170.98,98.13,100.2,165.32,116.76,2.43,101.21,2.91,72.85,42.61,31220.01,6439,1.39,16693,-7924,5399,-9672,90.88,47.92,164.76,98.44,7.43,10.75,143.53,52.51,Control
426,178.2,104.4,106.35,168.46,119.46,2.19,103.68,2.72,73.79,41.41,31400.37,6756,1.41,16036,-7924,3892,-10804,90.27,45.78,172.42,104.47,7.68,11.8,156.44,55.12,Control
429,178.89,104.03,106.67,162.88,121.71,1.03,106.43,1.1,74.86,41.85,32083.77,6827,1.42,15911,-8034,4019,-11239,102.36,47.63,171.04,104.03,7.51,11.8,154.95,58.41,Control
426,175.06,103.09,105.22,152.01,119.32,-0.53,104.41,-0.43,71.98,41.11,30627.72,6611,1.45,15818,-7878,4648,-7971,95.38,38.87,170.35,103.84,6.5,11.32,122.06,52.82,Control
426,171.42,101.33,102.02,151.26,114.48,-0.61,100.71,1.24,70.09,40.89,29824.17,5753,1.44,15442,-7690,7783,-9169,100.32,35.34,167.9,105.6,6.79,11.72,106.86,46.71,Control
426,173.74,98.56,100.45,165.39,115.68,1.24,99.97,3.14,75.18,43.27,31990.15,6319,1.33,15208,-7440,7287,-10108,102.54,53.57,165.32,100.07,7.52,11.13,129.11,47.2,Control
429,177.19,103.59,104.22,168.78,117.9,2.25,102.33,2.71,73.6,41.54,31544.24,6623,1.39,15380,-7878,4963,-11239,92.52,49.72,170.29,103.59,7.63,11.3,141.02,49.51,Control
426,180.77,104.28,105.85,164.63,120.74,1.88,104.8,2.21,76.49,42.31,32549.03,6948,1.37,15771,-7909,4588,-11681,97.71,41.69,174.43,104.28,7.46,11.5,150.16,55.4,Control
426,175.12,103.4,105.22,157.04,119.17,-0.17,104.21,0.05,71.72,40.96,30519.55,6552,1.45,15755,-8096,4394,-9859,101.44,48.53,168.46,103.4,6.96,11.54,125.27,50.8,Control
429,171.04,101.02,102.58,146.67,114.81,-0.72,100.68,-0.09,70.02,40.94,30008.66,5942,1.44,15286,-7784,6403,-10676,99.72,49.88,163,103.21,6.49,11.25,111.01,51.6,Control
429,170.41,100.27,101.71,164.44,112.18,-0.09,98.72,3.43,70.15,41.16,30063.14,5334,1.41,16521,-7628,8104,-8038,100.43,38.81,166.21,106.04,7.47,10.86,107.78,39.86,Control
316,440.45,226.4,234.13,437.18,106.35,-0.76,94.76,3.6,214.04,48.6,67592.57,14475,0.44,7307,-8263,10864,-12371,75.62,24.66,393.66,231.87,9.03,10.98,74.21,3.88,Control
317,443.71,246.06,256.74,438,109.8,-1.01,100.34,2.9,197.65,44.55,62747.06,13279,0.51,6554,-8921,10241,-10991,64.58,51.03,367.41,252.22,8.93,11.18,66.27,3.45,Control
309,444.72,245.31,253.72,434.48,108.76,-1.46,98.4,1.83,199.41,44.84,61672.71,12765,0.49,6664,-9157,8540,-12062,67.89,62.87,363.39,256.17,8.54,11.2,62.44,3.31,Control
313,434.1,237.33,250.39,407.91,104.89,-3.2,96.14,-0.18,196.77,45.33,61490.49,12675,0.49,6538,-9016,10676,-13128,77.77,61.08,355.34,246.63,7.62,11.18,67.95,4.08,Control
316,425.19,226.91,234.57,420.73,99.51,-3.33,88.98,3.85,198.28,46.63,62615.58,13704,0.45,7777,-8279,9175,-13128,71.18,17.68,398.49,230.36,8.43,11.26,69.44,3.92,Control
316,438.56,223.01,229.04,433.04,103.97,-0.63,92.05,3.51,215.55,49.15,68068.48,14154,0.43,7134,-8341,9859,-12190,75.63,20.1,394.28,227.85,8.93,10.97,66.99,3.57,Control
311,446.67,244.49,253.16,437.87,108.59,-1.13,98.64,3.27,202.17,45.26,62852.14,13210,0.49,6632,-8984,8667,-11996,60.53,52.84,365.52,254.48,8.87,11.29,70.48,3.68,Control
316,443.65,244.62,253.79,436.11,109.22,-1.46,99.17,1.19,199.03,44.86,62852.58,13237,0.5,6648,-8812,10676,-11554,64.55,21.29,400.82,249.08,8.56,11.2,63.7,3.35,Control
313,434.36,239.97,248.14,410.05,104.78,-3.15,94.57,0.2,194.38,44.75,60745.29,12261,0.49,6460,-8953,10362,-13001,77.22,60.42,353.21,249.46,7.84,11.26,69.51,4.13,Control
321,427.7,228.6,237.15,422.17,99.61,-1.7,89.59,4.14,199.1,46.55,63882.27,13387,0.45,7056,-8138,9109,-11615,73.97,15.1,401.76,236.76,8.45,11.62,74.2,4.16,Control
316,440.57,226.78,231.61,433.6,104.25,-0.74,92.16,3.67,213.79,48.53,67514.2,13447,0.43,7996,-8733,8915,-10864,76.7,22.58,386.06,234.44,8.8,10.95,65.2,3.47,Control
311,445.28,243.11,252.09,438.44,108.51,-1.12,98.31,2.91,202.17,45.4,62852.14,13237,0.49,6821,-8639,10991,-11306,63.98,21.56,401.13,248.7,8.81,11.15,65.41,3.4,Control
313,440.51,242.73,254.48,432.16,108.59,-1.96,99.34,0.88,197.78,44.9,61806.35,13260,0.5,6915,-8671,9738,-13122,65.14,19.09,404.71,257.31,8.4,11.7,61.75,3.31,Control
321,430.34,238.4,244.24,405.91,103.25,-3.45,92.3,-0.39,191.94,44.6,61584.95,12470,0.48,6836,-8812,10047,-14381,75.24,20.38,392.46,247.51,7.61,11.43,69.8,4.24,Control
316,435.74,225.4,235.51,429.71,99.91,-0.39,90.84,3.92,210.34,48.27,66422.86,13665,0.43,7134,-7855,8479,-11996,69.25,15.47,402.45,234.88,8.95,11.66,73.58,3.99,Control
308,444.66,231.68,239.34,439.51,106.15,-0.98,95.04,3.32,212.98,47.9,65531.66,13495,0.45,7244,-8780,9732,-11239,64.61,21.48,393.28,243.74,8.8,11.04,63.92,3.31,Control
317,441.33,244.31,251.47,431.97,109.75,-1.23,99.25,2.6,197.02,44.64,62547.23,13642,0.5,6664,-9235,10301,-12498,63.26,58.45,370.17,251.02,8.84,11.12,62.27,3.34,Control
313,429.14,245.5,253.09,421.42,106.9,-2.46,96.89,0.56,183.64,42.79,57388.1,12261,0.53,6962,-9031,8855,-13503,66.51,20.21,396.55,254.86,8.11,11.35,60.28,3.39,Control
316,421.23,234.32,242.48,410.87,101.71,-3.58,91.14,1.36,186.91,44.37,59024.28,13040,0.49,6523,-8514,9865,-13128,75.01,14.53,402.58,238.15,7.81,11.22,67.57,4,Control
314,438.06,219.75,230.49,431.16,102.27,-0.27,91.7,3.82,218.32,49.84,68580.98,14413,0.42,7902,-7714,9672,-13061,68.78,19.6,399.88,223.64,9.1,11.25,70.11,3.77,Control
313,444.22,238.97,245.75,438.06,107.37,-1.02,96.66,3.2,205.25,46.2,64140.31,13415,0.47,7134,-9078,10362,-10870,60.88,22.36,396.42,245.81,8.93,10.92,65.9,3.43,Control
316,442.02,244.24,256.17,436.68,109.03,-1.27,99.95,1.36,197.78,44.74,62456.95,13222,0.51,6711,-9063,9357,-12062,60.77,51.99,364.64,254.29,8.39,11.25,59.84,3.14,Control
319,434.29,241.92,250.33,410.37,105.44,-3.11,95.42,-0.29,192.38,44.3,61396.45,12290,0.5,6476,-8953,10676,-13255,60.36,60.02,353.84,247.25,7.8,11.24,66.59,3.95,Control
321,423.37,230.99,241.04,416.84,98.96,-1.92,89.18,4.11,192.38,45.44,61724.77,12664,0.46,7824,-8435,9236,-12686,74.41,17.43,397.43,235.7,8.32,11.1,71.2,4.1,Control
316,438.56,222.89,235.26,432.85,102.99,-0.71,92.79,3.52,215.68,49.18,68108.61,13351,0.43,7840,-7902,9236,-11621,60.02,23.91,382.04,227.72,8.92,11.11,67.82,3.62,Control
313,443.53,240.22,249.46,434.1,107.64,-1.12,97.18,2.99,203.31,45.84,63533.18,13409,0.48,6664,-8388,10108,-11808,63.83,19.53,404.21,254.73,8.72,11.6,65.22,3.46,Control
313,435.49,242.17,249.7,428.7,107.7,-2.29,97,0.69,193.32,44.39,60412.41,13106,0.5,6773,-9141,7850,-12056,60.55,21.23,397.43,251.21,8.33,11.22,61.58,3.35,Control
316,426.57,234.88,241.41,408.86,102.38,-3.61,91.38,1.33,191.69,44.94,60532.28,12809,0.48,7369,-8765,11621,-13945,73.99,19.47,394.04,242.48,7.96,11.37,70.62,4.22,Control
316,435.68,219.68,224.9,430.02,101.77,-0.24,89.71,3.6,215.99,49.58,68208,14169,0.42,7918,-7996,10301,-12559,73.56,19.61,397.87,223.2,9.05,11.3,73.19,3.96,Control
313,443.46,236.58,244.37,437.37,107.2,-1.1,96.58,3.04,206.88,46.65,64650.98,13335,0.47,6538,-8765,9738,-11052,62.32,19.09,399.31,242.42,8.76,10.98,69.8,3.65,Control
314,439.63,243.68,251.59,432.6,109.02,-1.27,98.68,1.75,195.95,44.57,61555.76,13208,0.5,6601,-9282,9611,-11058,62.23,56.71,363.95,251.53,8.67,11.11,65.93,3.52,Control
317,430.59,240.22,255.23,409.98,105.9,-3.08,97.77,-0.21,190.37,44.21,60433.69,12274,0.51,7118,-8937,8861,-13691,64.53,18.39,396.42,252.28,7.62,11.38,66.89,3.98,Control
321,412.06,230.17,237.65,410.49,99.2,-3.36,89.1,2.96,181.89,44.14,58359.38,13178,0.49,7996,-8247,9169,-13001,70.63,17.82,397.74,234.25,8.2,11.32,74.71,4.43,Control
319,435.61,220.06,225.71,430.27,102.57,-0.33,90.18,3.56,215.55,49.48,68792.61,13985,0.42,7354,-8357,8855,-12686,72.8,24.44,386.19,225.4,8.97,11.18,69.43,3.75,Control
309,444.4,240.66,247.13,437.56,107.42,-1.07,96.35,3.15,203.74,45.85,63012.97,13156,0.47,6554,-8733,9424,-10368,64.82,51.83,363.01,252.66,8.79,11.3,64.65,3.38,Control
311,441.83,242.1,252.47,433.1,108.94,-1.24,98.89,1.86,199.73,45.2,62091.98,13406,0.5,6821,-8953,9042,-11239,66.71,19.38,404.71,254.92,8.59,11.34,64.92,3.46,Control
316,430.65,238.4,245.5,406.09,105.5,-3.03,94.32,-0.08,192.25,44.64,60711.94,12494,0.49,6899,-8780,10931,-13315,60.79,20.21,392.59,243.61,7.89,11.18,63.59,3.86,Control
319,420.54,228.04,236.01,415.58,99.22,-3.09,88.71,4.21,192.5,45.78,61437.01,13163,0.46,6883,-7981,10114,-12123,72.51,20.44,393.41,235.76,8.31,11.64,68.87,3.99,Control
319,436.87,222.07,228.48,430.71,103.21,-0.6,91.34,3.63,214.8,49.17,68553.09,13669,0.43,7087,-8122,10864,-11118,73.52,24.94,381.54,226.97,8.93,11.11,67.82,3.66,Control
313,443.78,241.1,251.71,435.8,107.92,-1.04,98.26,3.13,202.68,45.67,63336.47,13131,0.48,7024,-8765,9732,-11742,63.01,20.98,399.12,246.5,8.78,11.05,63.55,3.35,Control
313,441.33,242.04,251.34,433.86,108.56,-1.98,98.27,0.89,199.29,45.16,62277.3,13292,0.49,6993,-8733,10489,-12498,63.8,20.57,401.76,247.01,8.43,11.14,66.88,3.55,Control
319,430.77,237.15,249.08,404.71,103.73,-3.44,94.67,0.2,193.63,44.95,61796.29,12504,0.49,7557,-8843,10489,-12934,59.47,18.86,393.47,242.36,7.57,11.24,68.77,4.2,Control
321,430.59,227.6,237.52,426.51,98.84,-0.21,89.18,4.07,202.99,47.14,65130.94,12965,0.44,8028,-8263,8479,-12371,71.43,19.36,397.93,234,8.74,11.18,68.26,3.75,Control
313,440.83,228.79,237.21,436.24,105.06,-0.82,94.34,3.45,212.04,48.1,66262.43,13423,0.44,7432,-8279,9109,-13001,71.43,21.27,389.95,231.81,8.95,10.92,71.15,3.74,Control
317,441.08,243.55,251.02,433.47,109.3,-1.12,98.74,3.05,197.53,44.78,62706.71,13519,0.5,6711,-9298,9296,-11427,62.49,51.99,366.72,251.34,8.78,11.13,64.52,3.43,Control
316,439.19,243.55,251.78,432.6,108.18,-1.88,97.96,0.81,195.64,44.55,61782.26,12705,0.5,6977,-9094,9424,-12183,62.7,19.38,399.44,249.7,8.25,11.16,61.03,3.26,Control
321,428.58,237.84,243.23,404.53,103.32,-3.48,92.52,0.26,190.74,44.51,61200.44,12328,0.49,7699,-9031,10241,-13315,78.53,18.87,392.59,243.92,7.72,11.18,67.18,4.11,Control
317,435.24,220.62,227.53,428.01,101.22,-0.13,89.93,3.98,214.61,49.31,68130.81,14055,0.42,7652,-8185,9042,-12377,71.51,17.35,398.81,224.9,9.05,11.26,71.08,3.88,Control
314,442.96,233.94,239.91,436.11,106.51,-0.99,94.9,3.21,209.02,47.19,65660.62,13325,0.45,7087,-8749,10864,-12311,61.48,23.58,390.64,239.85,8.93,10.92,66.37,3.49,Control
313,444.72,241.6,248.01,438.69,108.89,-1.29,98.21,1.17,203.12,45.67,63474.55,13338,0.48,6915,-8420,9048,-12056,65.18,19.5,403.77,246.75,8.61,11.3,60.62,3.15,Control
317,436.93,240.91,252.53,406.47,105.85,-3.39,97.37,-0.02,196.02,44.86,62228.28,12564,0.5,6570,-9204,10108,-12934,78.72,15.94,401.89,247.44,7.7,11.21,62.6,3.79,Control
429,288.51,216.31,242.68,261.02,100.23,5.38,98.51,6.02,72.2,25.02,30942.46,4602,1.36,12436,-4072,12746,-6845,73.51,37.69,279.91,229.69,10.76,21.39,48.68,7.15,Case
429,288.33,215.44,240.86,258.75,98.71,5.33,98.19,5.89,72.89,25.28,31238.17,4519,1.35,12373,-4338,12619,-7977,77.5,36.15,277.9,228.5,10.83,20.88,48.19,7.2,Case
426,289.39,209.79,242.81,243.94,98.94,2.03,98.9,2.18,79.6,27.51,33872.84,4455,1.24,11653,-4495,17389,-7160,75.67,33.29,277.27,229,9.76,18.59,47.97,8.06,Case
429,293.03,216.01,244.25,244.88,91.55,-0.45,83.09,0.52,77.02,26.29,33009.79,3961,1.08,13736,-3743,16578,-5338,72.68,32,282.99,228.43,7.22,16.92,53,8.84,Case
423,288.76,214.5,265.79,262.52,92.9,0.52,92.9,7.21,74.26,25.72,31378.71,3594,1.25,11903,-3978,16638,-8346,73.1,33.38,274.95,222.9,8.97,20.41,51.29,7.44,Case
429,291.02,216.51,266.85,264.59,100.96,5.58,100.78,6.18,74.52,25.61,31935.92,4612,1.35,12859,-3853,18460,-6216,74.64,40.18,278.47,221.46,9.61,15.53,64.22,9.17,Case
426,290.4,215.88,243.25,263.21,100.89,5.49,99.37,6.13,74.52,25.66,31709.43,4745,1.33,10650,-4182,17389,-5465,76.28,32.05,280.54,228.37,10.7,21.32,46.82,6.76,Case
429,289.02,215.94,241.81,260.51,100.15,5.33,98.66,6.05,73.08,25.28,31318.58,4643,1.35,12170,-4182,10108,-6531,73.16,37.09,278.34,230.31,11.09,23.18,50.3,7.41,Case
429,288.63,215.19,242.18,250.53,99.3,4.39,99.05,4.42,73.45,25.45,31476.8,4502,1.35,11292,-4260,18454,-6022,76.2,33.01,277.72,229.62,10.79,22.81,52.22,8.32,Case
426,292.4,210.67,241.74,242.81,95.26,0.62,92.26,0.74,81.74,27.95,34781.98,4224,1.13,11966,-3947,10174,-4957,77.05,38.57,279.22,228.24,8.36,21.2,54.99,9.33,Case
426,293.65,215,270.31,249.46,91.1,-0.2,90.33,2.29,77.65,26.53,33043.53,3921,1.16,11637,-4088,13055,-5526,74.34,25.91,280.35,226.74,7.47,17.48,54.01,8.68,Case
426,289.77,216.57,268.36,266.48,96.64,2.29,96.64,6.76,73.2,25.26,31147.97,3941,1.32,12890,-3884,19961,-5713,73.27,31.08,274.76,221.97,9.69,14.73,54.39,7.66,Case
429,287.13,216.19,242.87,263.4,101.51,5.46,98.63,6.11,70.93,24.7,30400.34,4837,1.39,12514,-4010,13812,-4836,73.23,37.16,280.85,229.12,10.84,22.55,46.52,6.7,Case
426,290.14,215.88,241.3,262.14,100.42,5.42,99.05,6.13,74.26,25.6,31601.25,4676,1.33,10447,-4432,19773,-4896,75.95,42,277.27,229.94,10.81,21.04,50.76,7.39,Case
429,288.33,215.31,242.18,258,100.04,5.36,99.37,5.86,73.02,25.32,31292.64,4480,1.36,12201,-4198,13249,-7348,78.43,36.36,278.02,229.44,10.67,20.94,51.45,7.73,Case
426,289.39,208.91,240.3,243.19,99.62,1.71,98.87,1.85,80.48,27.81,34248.86,4492,1.23,11339,-4589,19773,-5023,75.76,32.9,277.59,227.24,9.31,16.45,50.33,8.51,Case
426,294.1,215.38,246.2,245.2,92.37,-0.75,84.77,0.85,78.72,26.77,33499.39,3971,1.08,12154,-3712,11239,-5835,76.14,27.56,282.11,228.93,7.18,17.11,53.21,8.85,Case
426,285.24,216.25,266.03,263.65,93.63,0.85,93.63,7.1,68.99,24.19,29358,3636,1.36,12264,-3806,14562,-6524,70.42,27.87,273.38,220.9,9.5,17.78,55.38,7.97,Case
426,289.77,216.82,267.23,264.59,101.75,5.47,101.47,6.29,72.95,25.18,31042.37,4634,1.39,11480,-3884,10858,-6343,77.02,33.46,280.22,223.03,9.59,15.25,52.98,7.57,Case
426,288.83,215.94,242.74,264.02,100.6,5.41,98.9,6.19,72.89,25.24,31016.62,4723,1.36,12264,-4401,9484,-6028,78.68,37.03,279.6,228.87,10.55,20.75,51.38,7.37,Case
429,287.57,215.56,243.31,260.45,100.2,5.39,98.54,6.16,72.01,25.04,30859.46,4527,1.37,10243,-4104,17891,-5151,75.48,40.92,277.52,230.19,10.81,22,53.64,7.91,Case
429,285.43,213.55,241.74,248.4,98.93,3.97,98.74,4.05,71.88,25.18,30804.99,4541,1.37,11559,-4636,12244,-5962,73.27,38.19,275.95,227.99,10.31,17.96,57.3,9.29,Case
426,292.15,211.3,242.87,243.25,95.04,0.52,90.71,0.77,80.85,27.68,34405.96,4171,1.12,12342,-4245,15192,-5272,73.73,31.24,280.48,228.75,7.93,17.99,58.28,9.85,Case
426,289.02,214.5,268.86,250.34,91.18,-0.45,90.44,2.97,74.52,25.78,31709.43,3948,1.21,12639,-3963,14508,-4334,70.5,28.37,279.97,224.73,7.46,17.41,46.93,7.49,Case
426,289.02,215.88,267.04,265.91,99.32,2.97,99.32,6.72,73.14,25.31,31122.21,4007,1.36,12812,-3775,18393,-7910,75.61,32.5,275.45,221.34,9.93,16.72,58.11,8.22,Case
429,287.63,215.88,241.68,263.78,101.51,5.42,98.91,6.13,71.75,24.95,30750.52,4923,1.38,11825,-4323,16886,-4206,74.26,38.72,279.85,227.24,10.79,20.69,46.62,6.7,Case
