Heart_rate,Max_volume,Min_volume,Endsys_volume,Enddiast_volume,Max_preassure,Min_preassure,Endsys_preassure,Enddiast_preassure,Stroke_vol,Eject_F,Cardiac_output,Stroke_work,Art_elastance,dPdt_max,dPdt_min,dVdt_max,dVdt_min,PdVdt_max,PdPdt_max,VdPdt_max,VdPdt_min,Tau_w,Tau_g,Max_power,PAMP,Group
347,342.99,230.37,257.63,342.24,107.54,2.19,107.33,7.04,112.62,32.83,39057.92,8868,0.95,5281,-6457,4709,-4461,81.82,42.41,325.28,240.98,10.64,14.58,54.7,4.67,Control
345,351.41,221.33,240.42,321.01,112.19,-0.55,112.19,6.35,130.08,37.02,44856.63,10762,0.86,5454,-6535,3583,-7287,4.2,58.06,328.48,224.09,10.69,14.83,45.63,4.43,Control
347,336.08,224.34,239.1,324.65,110.91,-1.14,110.91,4.86,111.75,33.25,38755.65,9686,0.99,5626,-7005,3958,-7910,8.27,53.31,320.19,226.1,10.26,13.5,45.59,4.33,Control
345,344.5,226.03,244.82,344.5,109.32,-2.98,108.9,3.07,118.46,34.39,40849.53,9530,0.92,5579,-7491,4775,-5532,-1.27,58.81,317.24,232.76,8.98,13.61,52.44,4.42,Control
345,349.84,228.86,251.48,337.65,109.97,1.87,109.82,6.43,120.98,34.58,41717.73,9843,0.91,5109,-6582,4896,-4836,81.07,41.18,328.74,233.13,10.86,13.95,47.71,4.18,Control
345,350.22,220.7,239.67,320.26,111.91,-0.74,111.91,6.3,129.52,36.98,44662.54,10752,0.86,5532,-6613,3771,-6972,9.09,61.35,327.98,223.71,10.6,14.6,44.9,4.38,Control
345,335.14,225.1,239.6,329.36,110.5,-1.27,110.5,4.26,110.04,32.84,37946.46,9571,1,5642,-7193,3644,-6718,3.34,65.38,317.18,227.23,9.99,13.38,46.83,4.32,Control
345,342.55,225.6,248.46,342.55,109.15,-2.66,108.88,3.01,116.96,34.14,40329.85,9468,0.93,5548,-7209,4085,-4140,-1.05,59.07,317.3,234.45,9.12,13.96,46.63,3.97,Control
347,350.78,227.48,243.75,335.9,110.84,1.35,110.73,6.5,123.3,35.15,42762.83,9966,0.9,5172,-6363,4085,-4836,80.91,41.87,327.1,228.36,10.75,13.87,55.87,4.95,Control
343,349.4,221.33,240.8,321.26,111.19,-0.78,111.19,6.5,128.07,36.66,43911.37,10589,0.87,5516,-6676,3958,-7535,3.84,56.04,328.54,224.22,10.54,14.31,47.43,4.6,Control
347,336.52,224.22,238.66,330.3,110.51,-1.46,110.26,4.42,112.3,33.37,38948.77,9837,0.98,5610,-7318,3644,-6343,3.1,66.59,319.5,225.97,9.89,13.42,43.81,4.02,Control
349,342.49,227.11,248.84,342.49,108.21,-2.71,107.93,2.63,115.38,33.69,40249.87,9213,0.94,5485,-7036,3644,-3831,-1.02,61.76,315.17,235.52,9,14.36,46.85,3.99,Control
343,350.22,226.98,241.24,334.14,111.49,0.85,111.36,6.47,123.24,35.19,42253.36,9934,0.9,5203,-6080,4085,-5084,78.95,42.85,327.79,228.24,10.59,13.9,58.7,5.26,Control
345,346.51,221.14,239.6,320.82,111.24,-0.8,111.24,6.25,125.38,36.18,43232.92,10503,0.89,5610,-6864,4019,-6972,4.04,59.08,327.42,224.72,10.48,14,46.83,4.55,Control
345,341.24,224.84,240.42,341.24,110.14,-1.1,110.09,3.84,116.39,34.11,40135.76,9711,0.95,5642,-7475,4025,-6095,2.18,66.26,318.31,227.11,9.62,13.13,43.54,3.74,Control
349,343.81,230.37,254.74,338.28,108.88,-2.95,108.56,4.73,113.43,32.99,39570.03,9477,0.96,5360,-6942,3268,-4146,-1.16,60.79,321.64,239.73,9.66,14.12,54.23,4.74,Control
